city,year,mention_count
Kauhava,1994,1
Kauniainen,1986,5
Kauniainen,1987,4
Kauniainen,1988,23
Kauniainen,1989,13
Kauniainen,1990,4
Kauniainen,1991,4
Kauniainen,1992,6
Kauniainen,1993,1
Kauniainen,1994,8
Kauniainen,1995,7
Kemi,1986,95
Kemi,1987,51
Kemi,1988,53
Kemi,1989,52
Kemi,1990,18
Kemi,1991,26
Kemi,1992,17
Kemi,1993,45
Kemi,1994,37
Kemi,1995,19
Kemijärvi,1986,9
Kemijärvi,1987,10
Kemijärvi,1988,6
Kemijärvi,1989,5
Kemijärvi,1990,5
Kemijärvi,1991,26
Kemijärvi,1992,17
Kemijärvi,1993,21
Kemijärvi,1994,31
Kemijärvi,1995,15
Kerava,1986,10
Kerava,1987,3
Kerava,1988,5
Kerava,1989,6
Kerava,1990,4
Kerava,1991,2
Kerava,1992,2
Kerava,1993,9
Kerava,1994,5
Kerava,1995,2
Keuruu,1986,9
Keuruu,1987,7
Keuruu,1988,1
Keuruu,1992,2
Kitee,1986,1
Kitee,1988,2
Kitee,1989,2
Kitee,1990,4
Kitee,1993,2
Kitee,1995,1
Kiuruvesi,1986,1
Kiuruvesi,1990,2
Kiuruvesi,1991,2
Kiuruvesi,1993,3
Kiuruvesi,1995,2
Kokemäki,1986,3
Kokemäki,1987,4
Kokemäki,1988,9
Kokemäki,1989,2
Kokemäki,1990,5
Kokemäki,1991,1
Kokemäki,1993,2
Kokemäki,1994,2
Kokkola,1986,10
Kokkola,1987,9
Kokkola,1988,1
Kokkola,1989,4
Kokkola,1990,7
Kokkola,1991,1
Kokkola,1992,8
Kokkola,1993,3
Kokkola,1994,2
Kokkola,1995,3
Kotka,1986,39
Kotka,1987,52
Kotka,1988,33
Kotka,1989,34
Kotka,1990,20
Kotka,1991,10
Kotka,1992,5
Kotka,1993,16
Kotka,1994,11
Kotka,1995,22
Kouvola,1986,8
Kouvola,1987,8
Kouvola,1988,5
Kouvola,1989,1
Kouvola,1990,14
Kouvola,1991,2
Kouvola,1992,6
Kouvola,1993,21
Kouvola,1994,8
Kouvola,1995,7
Kristiinankaupunki,1988,1
Kristiinankaupunki,1993,1
Kuhmo,1986,2
Kuhmo,1987,7
Kuhmo,1988,7
Kuhmo,1989,7
Kuhmo,1990,9
Kuhmo,1991,1
Kuhmo,1992,9
Kuhmo,1993,27
Kuhmo,1994,4
Kuopio,1986,28
Kuopio,1987,43
Kuopio,1988,44
Kuopio,1989,37
Kuopio,1990,27
Kuopio,1991,83
Kuopio,1992,40
Kuopio,1993,66
Kuopio,1994,54
Kuopio,1995,24
Kurikka,1986,2
Kurikka,1987,1
Kurikka,1990,2
Kurikka,1991,4
Kurikka,1995,1
Kuusamo,1986,18
Kuusamo,1987,44
Kuusamo,1988,10
Kuusamo,1989,6
Kuusamo,1990,12
Kuusamo,1991,4
Kuusamo,1992,10
Kuusamo,1993,5
Kuusamo,1994,8
Kuusamo,1995,5
Lahti,1986,41
Lahti,1987,19
Lahti,1988,20
Lahti,1989,17
Lahti,1990,26
Lahti,1991,9
Lahti,1992,16
Lahti,1993,40
Lahti,1994,19
Lahti,1995,36
Laitila,1986,4
Laitila,1987,2
Laitila,1988,1
Laitila,1992,1
Laitila,1993,2
Lappeenranta,1986,7
Lappeenranta,1987,12
Lappeenranta,1988,9
