city,year,mention_count
Akaa,2006,1
Akaa,2007,1
Akaa,2009,3
Akaa,2012,2
Akaa,2013,1
Alajärvi,2004,3
Alajärvi,2005,5
Alajärvi,2006,2
Alajärvi,2007,3
Alajärvi,2008,4
Alajärvi,2009,4
Alajärvi,2010,1
Alajärvi,2011,2
Alajärvi,2013,3
Alavus,2006,3
Alavus,2007,3
Alavus,2008,1
Alavus,2011,3
Alavus,2013,1
Espoo,2004,53
Espoo,2005,50
Espoo,2006,83
Espoo,2007,47
Espoo,2008,88
Espoo,2009,51
Espoo,2010,45
Espoo,2011,49
Espoo,2012,68
Espoo,2013,54
Forssa,2004,5
Forssa,2005,11
Forssa,2006,6
Forssa,2008,4
Forssa,2009,1
Forssa,2010,2
Forssa,2011,14
Forssa,2012,7
Forssa,2013,10
Haapajärvi,2004,2
Haapajärvi,2005,1
Haapajärvi,2006,4
Haapajärvi,2007,5
Haapajärvi,2008,3
Haapajärvi,2009,1
Haapajärvi,2010,1
Haapajärvi,2011,5
Haapajärvi,2012,1
Haapajärvi,2013,1
Haapavesi,2004,4
Haapavesi,2005,6
Haapavesi,2006,1
Haapavesi,2007,2
Haapavesi,2008,1
Haapavesi,2009,2
Haapavesi,2010,1
Haapavesi,2012,3
Hamina,2004,20
Hamina,2005,24
Hamina,2006,33
Hamina,2007,19
Hamina,2008,32
Hamina,2009,19
Hamina,2010,20
Hamina,2011,9
Hamina,2012,24
Hamina,2013,26
Hanko,2004,5
Hanko,2005,13
Hanko,2006,23
Hanko,2007,6
Hanko,2008,20
Hanko,2009,11
Hanko,2010,19
Hanko,2011,10
Hanko,2012,15
Hanko,2013,8
Harjavalta,2004,1
Harjavalta,2007,1
Harjavalta,2008,2
Harjavalta,2009,2
Harjavalta,2011,1
Harjavalta,2013,1
Heinola,2004,1
Heinola,2005,7
Heinola,2006,4
Heinola,2007,4
Heinola,2008,9
Heinola,2009,14
Heinola,2010,113
Heinola,2011,4
Heinola,2012,12
Heinola,2013,1
Helsinki,2004,434
Helsinki,2005,423
Helsinki,2006,475
Helsinki,2007,368
Helsinki,2008,485
Helsinki,2009,574
