city,year,mention_count
Helsinki,2010,543
Helsinki,2011,369
Helsinki,2012,398
Helsinki,2013,475
Huittinen,2004,1
Huittinen,2005,1
Huittinen,2007,1
Huittinen,2010,3
Huittinen,2011,2
Huittinen,2012,1
Huittinen,2013,1
Hyvinkää,2004,1
Hyvinkää,2005,4
Hyvinkää,2006,4
Hyvinkää,2007,2
Hyvinkää,2008,6
Hyvinkää,2009,1
Hyvinkää,2010,2
Hyvinkää,2011,5
Hyvinkää,2012,20
Hyvinkää,2013,9
Hämeenlinna,2004,10
Hämeenlinna,2005,38
Hämeenlinna,2006,32
Hämeenlinna,2007,19
Hämeenlinna,2008,17
Hämeenlinna,2009,26
Hämeenlinna,2010,15
Hämeenlinna,2011,14
Hämeenlinna,2012,11
Hämeenlinna,2013,22
Iisalmi,2004,2
Iisalmi,2005,2
Iisalmi,2006,6
Iisalmi,2007,3
Iisalmi,2008,2
Iisalmi,2009,3
Iisalmi,2010,3
Iisalmi,2011,6
Iisalmi,2012,5
Iisalmi,2013,8
Ikaalinen,2004,2
Ikaalinen,2005,2
Ikaalinen,2006,1
Ikaalinen,2007,1
Ikaalinen,2008,1
Ikaalinen,2010,1
Ikaalinen,2011,4
Imatra,2004,24
Imatra,2005,19
Imatra,2006,28
Imatra,2007,14
Imatra,2008,30
Imatra,2009,7
Imatra,2010,9
Imatra,2011,18
Imatra,2012,27
Imatra,2013,26
Joensuu,2004,56
Joensuu,2005,40
Joensuu,2006,71
Joensuu,2007,48
Joensuu,2008,35
Joensuu,2009,48
Joensuu,2010,39
Joensuu,2011,12
Joensuu,2012,38
Joensuu,2013,35
Jyväskylä,2004,62
Jyväskylä,2005,77
Jyväskylä,2006,65
Jyväskylä,2007,44
Jyväskylä,2008,59
Jyväskylä,2009,88
Jyväskylä,2010,46
Jyväskylä,2011,61
Jyväskylä,2012,82
Jyväskylä,2013,119
Jämsä,2004,2
Jämsä,2005,13
Jämsä,2006,9
Jämsä,2007,8
Jämsä,2008,12
Jämsä,2009,17
Jämsä,2010,13
Jämsä,2011,15
Jämsä,2012,21
Jämsä,2013,11
Järvenpää,2004,1
Järvenpää,2005,5
Järvenpää,2006,7
Järvenpää,2007,7
Järvenpää,2008,7
Järvenpää,2009,7
Järvenpää,2010,14
Järvenpää,2011,4
Järvenpää,2012,6
Järvenpää,2013,3
Kaarina,2006,2
Kaarina,2008,1
Kaarina,2010,1
Kaarina,2012,1
Kaarina,2013,2
Kajaani,2004,62
Kajaani,2005,27
Kajaani,2006,16
Kajaani,2007,20
Kajaani,2008,34
Kajaani,2009,28
Kajaani,2010,88
Kajaani,2011,27
Kajaani,2012,8
Kajaani,2013,18
Kalajoki,2005,1
Kalajoki,2007,1
Kalajoki,2008,1
Kangasala,2005,3
Kangasala,2006,3
Kangasala,2007,1
Kangasala,2008,2
Kangasala,2009,2
Kangasala,2010,1
Kangasala,2011,2
Kangasala,2012,1
Kangasala,2013,1
Kankaanpää,2004,1
Kankaanpää,2005,3
Kankaanpää,2006,3
Kankaanpää,2007,6
Kankaanpää,2009,1
Kankaanpää,2011,4
Kankaanpää,2013,1
Kannus,2004,2
Kannus,2006,1
Kannus,2007,5
Kannus,2008,4
Kannus,2013,1
Karkkila,2004,1
Karkkila,2005,2
Karkkila,2006,4
Karkkila,2008,1
Karkkila,2009,2
Karkkila,2010,7
Karkkila,2011,1
Karkkila,2012,2
Karkkila,2013,2
Kaskinen,2005,2
Kaskinen,2006,1
Kaskinen,2008,5
Kaskinen,2009,6
Kaskinen,2010,4
Kaskinen,2011,5
Kaskinen,2012,9
Kaskinen,2013,6
Kauhajoki,2004,2
Kauhajoki,2005,7
Kauhajoki,2006,7
Kauhajoki,2007,2
Kauhajoki,2008,51
Kauhajoki,2009,36
Kauhajoki,2010,20
Kauhajoki,2011,9
Kauhajoki,2012,11
Kauhajoki,2013,8
Kauhava,2004,12
Kauhava,2005,11
Kauhava,2006,8
Kauhava,2007,6
Kauhava,2008,5
Kauhava,2009,4
Kauhava,2010,5
Kauhava,2011,3
Kauhava,2012,44
Kauhava,2013,4
Kauniainen,2004,2
Kauniainen,2005,4
Kauniainen,2006,8
Kauniainen,2007,8
Kauniainen,2008,12
Kauniainen,2009,9
Kauniainen,2010,13
Kauniainen,2011,12
Kauniainen,2012,14
Kauniainen,2013,11
Kemi,2004,16
Kemi,2005,24
Kemi,2006,19
Kemi,2007,99
Kemi,2008,43
Kemi,2009,16
Kemi,2010,34
Kemi,2011,38
Kemi,2012,19
Kemi,2013,28
Kemijärvi,2004,27
Kemijärvi,2005,13
Kemijärvi,2006,34
Kemijärvi,2007,76
Kemijärvi,2008,182
Kemijärvi,2009,22
Kemijärvi,2010,20
Kemijärvi,2011,18
Kemijärvi,2012,14
Kemijärvi,2013,17
Kerava,2004,1
Kerava,2005,10
Kerava,2006,4
Kerava,2007,14
Kerava,2008,9
Kerava,2009,14
Kerava,2010,11
Kerava,2011,6
Kerava,2012,10
Kerava,2013,6
Keuruu,2004,24
Keuruu,2005,29
Keuruu,2006,44
Keuruu,2007,28
Keuruu,2008,37
Keuruu,2009,20
Keuruu,2010,32
Keuruu,2011,34
Keuruu,2012,38
Keuruu,2013,10
Kitee,2004,5
Kitee,2005,3
Kitee,2006,7
Kitee,2007,1
Kitee,2008,6
Kitee,2009,7
Kitee,2010,5
Kitee,2011,3
Kiuruvesi,2004,4
Kiuruvesi,2005,3
Kiuruvesi,2006,1
Kiuruvesi,2007,1
Kiuruvesi,2010,1
Kiuruvesi,2012,3
Kiuruvesi,2013,4
Kokemäki,2004,2
Kokemäki,2005,2
Kokemäki,2006,1
Kokemäki,2007,4
Kokemäki,2008,3
Kokemäki,2009,5
Kokemäki,2010,5
Kokemäki,2011,1
Kokemäki,2012,1
Kokemäki,2013,3
Kokkola,2004,15
Kokkola,2005,8
Kokkola,2006,13
Kokkola,2007,23
Kokkola,2008,7
Kokkola,2009,22
Kokkola,2010,14
Kokkola,2011,4
Kokkola,2012,10
Kokkola,2013,8
Kotka,2004,39
Kotka,2005,61
Kotka,2006,67
Kotka,2007,34
Kotka,2008,66
Kotka,2009,31
Kotka,2010,45
Kotka,2011,24
Kotka,2012,30
Kotka,2013,29
Kouvola,2004,17
Kouvola,2005,40
Kouvola,2006,31
Kouvola,2007,9
Kouvola,2008,30
Kouvola,2009,21
Kouvola,2010,32
Kouvola,2011,53
Kouvola,2012,72
Kouvola,2013,37
Kristiinankaupunki,2006,4
Kristiinankaupunki,2008,1
Kristiinankaupunki,2010,4
Kristiinankaupunki,2011,2
Kristiinankaupunki,2013,1
Kuhmo,2004,10
Kuhmo,2005,8
Kuhmo,2006,5
Kuhmo,2007,4
Kuhmo,2008,5
Kuhmo,2009,8
Kuhmo,2010,6
Kuhmo,2011,4
Kuhmo,2013,2
Kuopio,2004,55
Kuopio,2005,51
Kuopio,2006,60
Kuopio,2007,60
Kuopio,2008,91
Kuopio,2009,150
Kuopio,2010,43
Kuopio,2011,47
Kuopio,2012,52
Kuopio,2013,56
Kurikka,2005,2
Kurikka,2006,2
Kurikka,2008,7
Kurikka,2009,2
Kurikka,2010,10
Kurikka,2011,9
Kurikka,2012,3
Kurikka,2013,4
Kuusamo,2004,4
Kuusamo,2005,26
Kuusamo,2006,6
Kuusamo,2007,9
Kuusamo,2008,12
Kuusamo,2009,7
Kuusamo,2010,9
Kuusamo,2011,9
Kuusamo,2012,6
Kuusamo,2013,5
Lahti,2004,28
Lahti,2005,67
Lahti,2006,119
Lahti,2007,57
Lahti,2008,46
Lahti,2009,37
Lahti,2010,56
Lahti,2011,29
Lahti,2012,64
Lahti,2013,31
Laitila,2006,3
Laitila,2009,1
Laitila,2011,1
Laitila,2013,2
Lappeenranta,2004,27
Lappeenranta,2005,27
Lappeenranta,2006,34
Lappeenranta,2007,22
Lappeenranta,2008,24
Lappeenranta,2009,29
Lappeenranta,2010,21
Lappeenranta,2011,19
Lappeenranta,2012,30
Lappeenranta,2013,72
Lapua,2004,2
Lapua,2005,6
Lapua,2006,3
Lapua,2007,1
Lapua,2008,4
Lapua,2009,1
Lapua,2013,1
Lieksa,2004,5
Lieksa,2005,9
Lieksa,2006,9
Lieksa,2007,5
Lieksa,2008,6
Lieksa,2009,7
Lieksa,2010,6
Lieksa,2011,5
Lieksa,2012,3
Lieksa,2013,3
Lohja,2004,5
Lohja,2005,4
Lohja,2006,4
Lohja,2007,3
Lohja,2008,10
Lohja,2009,3
Lohja,2010,5
Lohja,2011,5
Lohja,2012,3
Lohja,2013,4
Loimaa,2004,3
Loimaa,2005,13
Loimaa,2006,5
Loimaa,2007,2
Loimaa,2008,2
Loimaa,2010,3
Loimaa,2011,4
Loimaa,2012,3
Loimaa,2013,4
Loviisa,2004,4
Loviisa,2005,8
Loviisa,2006,7
Loviisa,2007,2
Loviisa,2008,9
Loviisa,2009,11
Loviisa,2010,25
Loviisa,2011,2
Loviisa,2012,2
Loviisa,2013,3
Maarianhamina,2004,1
Maarianhamina,2005,1
Maarianhamina,2006,1
Maarianhamina,2007,2
Maarianhamina,2008,3
Maarianhamina,2009,1
Maarianhamina,2012,1
Mikkeli,2004,34
Mikkeli,2005,24
Mikkeli,2006,32
Mikkeli,2007,23
Mikkeli,2008,21
Mikkeli,2009,17
Mikkeli,2010,19
Mikkeli,2011,23
Mikkeli,2012,32
Mikkeli,2013,29
Mänttä-Vilppula,2010,1
Mänttä-Vilppula,2011,6
Mänttä-Vilppula,2012,2
Mänttä-Vilppula,2013,8
Naantali,2004,1
Naantali,2005,1
Naantali,2006,1
Naantali,2007,1
Naantali,2008,3
Naantali,2010,1
Naantali,2011,1
Naantali,2012,3
Naantali,2013,4
Nivala,2005,2
Nivala,2007,1
Nivala,2010,1
Nivala,2012,2
Nivala,2013,1
Nokia,2004,38
Nokia,2005,32
Nokia,2006,27
Nokia,2007,46
Nokia,2008,72
Nokia,2009,58
Nokia,2010,52
Nokia,2011,66
Nokia,2012,89
Nokia,2013,64
Nurmes,2004,5
Nurmes,2005,7
Nurmes,2006,6
Nurmes,2007,2
Nurmes,2008,2
Nurmes,2009,6
Nurmes,2010,1
Nurmes,2012,3
Nurmes,2013,1
Närpiö,2004,1
Närpiö,2005,1
Närpiö,2007,1
Närpiö,2008,1
Närpiö,2009,1
Närpiö,2010,2
Närpiö,2011,1
Orimattila,2004,1
Orimattila,2005,1
Orimattila,2006,1
Orimattila,2008,1
Orimattila,2009,1
Orimattila,2010,4
Orimattila,2011,5
Orimattila,2012,4
Orimattila,2013,1
Orivesi,2004,4
Orivesi,2005,4
Orivesi,2006,4
Orivesi,2007,2
Orivesi,2008,5
Orivesi,2009,3
Orivesi,2010,3
Orivesi,2011,5
Orivesi,2012,2
Orivesi,2013,1
Oulainen,2008,2
Oulainen,2011,1
Oulainen,2013,1
Oulu,2004,92
Oulu,2005,133
Oulu,2006,126
Oulu,2007,95
Oulu,2008,157
Oulu,2009,156
Oulu,2010,219
Oulu,2011,100
Oulu,2012,140
Oulu,2013,118
Outokumpu,2004,9
Outokumpu,2005,2
Outokumpu,2006,15
Outokumpu,2007,51
Outokumpu,2008,23
Outokumpu,2009,5
Outokumpu,2010,29
Outokumpu,2011,18
Outokumpu,2012,7
Outokumpu,2013,6
Paimio,2005,1
Paimio,2006,1
Paimio,2012,1
Parainen,2005,1
Parainen,2006,1
Parainen,2013,2
Parkano,2004,9
Parkano,2005,4
Parkano,2006,7
Parkano,2007,4
Parkano,2008,1
Parkano,2009,4
Parkano,2010,4
Parkano,2011,8
Parkano,2012,2
Parkano,2013,3
Pieksämäki,2004,3
Pieksämäki,2005,3
Pieksämäki,2006,3
Pieksämäki,2007,5
Pieksämäki,2008,5
Pieksämäki,2009,3
Pieksämäki,2010,5
Pieksämäki,2011,4
Pieksämäki,2012,6
Pieksämäki,2013,1
Pietarsaari,2004,2
Pietarsaari,2005,19
Pietarsaari,2006,10
Pietarsaari,2007,4
Pietarsaari,2008,12
Pietarsaari,2009,12
Pietarsaari,2010,4
Pietarsaari,2011,3
Pietarsaari,2012,7
Pietarsaari,2013,15
Pori,2004,23
Pori,2005,21
Pori,2006,22
Pori,2007,40
Pori,2008,36
Pori,2009,45
Pori,2010,41
Pori,2011,23
Pori,2012,29
Pori,2013,16
Porvoo,2004,4
Porvoo,2005,6
Porvoo,2006,13
Porvoo,2007,9
Porvoo,2008,14
Porvoo,2009,9
Porvoo,2010,17
Porvoo,2011,18
Porvoo,2012,13
Porvoo,2013,12
Pudasjärvi,2006,2
Pudasjärvi,2007,3
Pudasjärvi,2009,5
Pudasjärvi,2010,10
Pudasjärvi,2011,1
Pudasjärvi,2012,7
Pudasjärvi,2013,1
Pyhäjärvi,2004,2
Pyhäjärvi,2007,1
Pyhäjärvi,2010,9
Pyhäjärvi,2012,4
Pyhäjärvi,2013,4
Raahe,2004,32
Raahe,2005,10
Raahe,2006,7
Raahe,2007,19
Raahe,2008,5
Raahe,2009,5
Raahe,2010,4
Raahe,2011,3
Raahe,2012,4
Raahe,2013,21
Raasepori,2007,1
Raasepori,2009,3
Raasepori,2010,1
Raasepori,2011,3
Raasepori,2012,5
Raasepori,2013,7
Raisio,2004,1
Raisio,2005,3
Raisio,2006,2
Raisio,2007,8
Raisio,2008,12
Raisio,2009,4
Raisio,2010,3
Raisio,2011,2
Raisio,2012,9
Raisio,2013,4
Rauma,2004,12
Rauma,2005,10
Rauma,2006,5
Rauma,2007,18
Rauma,2008,19
Rauma,2009,5
Rauma,2010,14
Rauma,2011,8
Rauma,2012,21
Rauma,2013,43
Riihimäki,2005,15
Riihimäki,2006,9
Riihimäki,2007,5
Riihimäki,2008,17
Riihimäki,2009,5
Riihimäki,2010,6
Riihimäki,2011,6
Riihimäki,2012,26
Riihimäki,2013,14
Rovaniemi,2004,21
Rovaniemi,2005,28
Rovaniemi,2006,32
Rovaniemi,2007,21
Rovaniemi,2008,49
Rovaniemi,2009,33
Rovaniemi,2010,65
Rovaniemi,2011,52
Rovaniemi,2012,72
Rovaniemi,2013,57
Saarijärvi,2004,2
Saarijärvi,2005,7
Saarijärvi,2006,11
Saarijärvi,2007,12
Saarijärvi,2008,6
Saarijärvi,2009,4
Saarijärvi,2010,6
Saarijärvi,2011,4
Saarijärvi,2012,1
Saarijärvi,2013,15
Salo,2004,8
Salo,2005,7
Salo,2006,24
Salo,2007,16
Salo,2008,11
Salo,2009,12
Salo,2010,16
Salo,2011,12
Salo,2012,72
Salo,2013,15
Sastamala,2008,1
Sastamala,2009,5
Sastamala,2010,13
Sastamala,2011,5
Sastamala,2012,11
Sastamala,2013,16
Savonlinna,2004,9
Savonlinna,2005,13
Savonlinna,2006,25
Savonlinna,2007,36
Savonlinna,2008,30
Savonlinna,2009,22
Savonlinna,2010,36
Savonlinna,2011,13
Savonlinna,2012,39
Savonlinna,2013,28
Seinäjoki,2004,31
Seinäjoki,2005,49
Seinäjoki,2006,69
Seinäjoki,2007,17
Seinäjoki,2008,27
Seinäjoki,2009,33
Seinäjoki,2010,21
Seinäjoki,2011,26
Seinäjoki,2012,18
Seinäjoki,2013,32
Somero,2005,1
Somero,2006,4
Somero,2009,1
Somero,2010,6
Somero,2011,8
Somero,2013,3
Suonenjoki,2004,1
Suonenjoki,2005,2
Suonenjoki,2006,2
Suonenjoki,2009,1
Suonenjoki,2010,1
Suonenjoki,2012,1
Suonenjoki,2013,4
Tampere,2004,127
Tampere,2005,132
Tampere,2006,163
Tampere,2007,85
Tampere,2008,116
Tampere,2009,117
Tampere,2010,120
Tampere,2011,91
Tampere,2012,108
Tampere,2013,110
Tornio,2004,34
Tornio,2005,12
Tornio,2006,14
Tornio,2007,21
Tornio,2008,11
Tornio,2009,17
Tornio,2010,18
Tornio,2011,14
Tornio,2012,7
Tornio,2013,8
Turku,2004,112
Turku,2005,100
Turku,2006,118
Turku,2007,90
Turku,2008,88
Turku,2009,116
Turku,2010,110
Turku,2011,84
Turku,2012,112
Turku,2013,120
Ulvila,2005,1
Ulvila,2009,2
Ulvila,2010,1
Ulvila,2011,3
Ulvila,2012,1
Ulvila,2013,2
Uusikaarlepyy,2007,1
Uusikaarlepyy,2013,2
Uusikaupunki,2004,2
Uusikaupunki,2005,1
Uusikaupunki,2008,2
Uusikaupunki,2010,1
Uusikaupunki,2011,1
Uusikaupunki,2012,1
Uusikaupunki,2013,1
Vaasa,2004,24
Vaasa,2005,28
Vaasa,2006,34
Vaasa,2007,35
Vaasa,2008,36
Vaasa,2009,55
Vaasa,2010,43
Vaasa,2011,42
Vaasa,2012,46
Vaasa,2013,43
Valkeakoski,2004,1
Valkeakoski,2005,5
Valkeakoski,2006,1
Valkeakoski,2007,1
Valkeakoski,2008,6
Valkeakoski,2009,10
Valkeakoski,2010,1
Valkeakoski,2011,2
Valkeakoski,2012,5
Valkeakoski,2013,6
Vantaa,2004,29
Vantaa,2005,76
Vantaa,2006,35
Vantaa,2007,32
Vantaa,2008,47
Vantaa,2009,44
Vantaa,2010,41
Vantaa,2011,70
Vantaa,2012,77
Vantaa,2013,57
Varkaus,2004,8
Varkaus,2005,6
Varkaus,2006,13
Varkaus,2007,6
Varkaus,2008,30
Varkaus,2009,32
Varkaus,2010,50
Varkaus,2011,10
Varkaus,2012,11
Varkaus,2013,15
Viitasaari,2005,4
Viitasaari,2006,1
Viitasaari,2007,4
Viitasaari,2008,3
Viitasaari,2010,2
Viitasaari,2011,4
Viitasaari,2012,1
Viitasaari,2013,7
Virrat,2004,1
Virrat,2005,1
Virrat,2006,5
Virrat,2007,1
Virrat,2008,1
Virrat,2009,1
Virrat,2011,3
Virrat,2013,6
Ylivieska,2004,3
Ylivieska,2005,3
Ylivieska,2007,3
Ylivieska,2008,3
Ylivieska,2009,3
Ylivieska,2010,2
Ylivieska,2011,5
Ylivieska,2012,3
Ylivieska,2013,1
Ylöjärvi,2004,1
Ylöjärvi,2005,5
Ylöjärvi,2006,2
Ylöjärvi,2007,4
Ylöjärvi,2008,6
Ylöjärvi,2010,4
Ylöjärvi,2011,6
Ylöjärvi,2012,5
Ylöjärvi,2013,3
Ähtäri,2004,2
Ähtäri,2005,10
Ähtäri,2006,6
Ähtäri,2007,6
Ähtäri,2008,4
Ähtäri,2009,1
Ähtäri,2010,3
Ähtäri,2011,14
Ähtäri,2012,11
Ähtäri,2013,8
Äänekoski,2004,2
Äänekoski,2005,3
Äänekoski,2006,9
Äänekoski,2007,11
Äänekoski,2008,9
Äänekoski,2010,9
Äänekoski,2011,8
Äänekoski,2012,3
Äänekoski,2013,1
