kaupunki,maakunta,väkiluku,maapinta-ala,väestötiheys,Search term,Search term improved,Not,Muistiin,,SPARQL values surfaceForm,SPARQL values lemma (prefLabel)
Mänttä-Vilppula,Pirkanmaa,9645,534.85,18.00,Mänttä-vilppul,Mänttä-Vilppula,,,,,
Närpiö,Pohjanmaa,9583,977.74,9.80,Närpi,Närpiö,,,,,
Nurmes,Pohjois-Karjala,9503,"2,401.38",4.00,Nurme,Nurme,,,,,
Keuruu,Keski-Suomi,9491,"1,257.96",7.50,Keuru,Keuruu,,,,,
Alajärvi,Etelä-Pohjanmaa,9402,"1,008.85",9.30,Alajär,Alajärv,,,,,
Saarijärvi,Keski-Suomi,9203,"1,251.71",7.40,Saarijär,Saarijärv,,,,,
Orivesi,Pirkanmaa,8987,799.65,11.20,Orive,Orive,,,,,
Karkkila,Uusimaa,8696,242.35,35.90,Karkkil,Karkkila,,,,,
Somero,Varsinais-Suomi,8623,667.98,12.90,Somer,Somero,,,,,
Laitila,Varsinais-Suomi,8472,531.85,15.90,Laitil,Laitila,,,,,
Hanko,Uusimaa,8064,117.46,68.70,Han,Hanko Hango,,"NOT ""Hankon""",,,
Kuhmo,Kainuu,8027,"4,806.43",1.70,Kuhm,Kuhmo,,"Not ""Kuhmoi""",,,
Kiuruvesi,Pohjois-Savo,7832,"1,328.15",5.90,Kiuruve,Kiuruve,,,,,
Pudasjärvi,Pohjois-Pohjanmaa,7760,"5,638.35",1.40,Pudasjär,Pudasjärv,,,,,
Uusikaarlepyy,Pohjanmaa,7509,732.70,10.20,Uusikaarlep,Uusikaarlepyy,,,,,
Kemijärvi,Lappi,7167,"3,504.36",2.00,Kemijär,Kemijärv,,Kemijärvi Kemi!,,,
Oulainen,Pohjois-Pohjanmaa,7160,587.84,12.20,Oulai,Oulai,,,,,
Kokemäki,Satakunta,6990,480.20,14.60,Kokemä,Kokemä,,"NOT Kokemäenjo, Kokemäen jo",,,
Suonenjoki,Pohjois-Savo,6931,713.56,9.70,Suonenjo,Suonenjo,,,,,
Haapajärvi,Pohjois-Pohjanmaa,6887,766.38,9.00,Haapajär,Haapajärv,,"Check osumat, muita Haapajärviä?",,,
Ikaalinen,Pirkanmaa,6880,750.41,9.20,Ikaali,Ikaali,,,,,
Harjavalta,Satakunta,6856,123.46,55.50,Harjaval,Harjaval,,,,,
Haapavesi,Pohjois-Pohjanmaa,6685,"1,050.41",6.40,Haapave,Haapave,,,,,
Outokumpu,Pohjois-Karjala,6508,445.82,14.60,Outokum,Outokum,,,,,
Virrat,Pirkanmaa,6490,"1,162.68",5.60,Virr,Virr,,,,,
Kristiinankaupunki,Pohjanmaa,6405,683.24,9.40,Kristiinankau,Kristiinankau,,*****,,,
Parkano,Pirkanmaa,6352,852.72,7.40,Parkan,Parkano,,,,,
Viitasaari,Keski-Suomi,6093,"1,248.54",4.90,Viitasaar,Viitasaar,,,,,
Ähtäri,Etelä-Pohjanmaa,5524,805.82,6.90,Ähtär,Ähtäri,,,,,
Kannus,Keski-Pohjanmaa,5409,468.04,11.60,Kannu,Kannu,Kannusj,,,,
Pyhäjärvi,Pohjois-Pohjanmaa,5014,"1,310.33",3.80,Pyhäjär,Pyhäjärv,,,,,
Kaskinen,Pohjanmaa,1283,10.63,120.70,Kaski,Kaski,Kaskisaar,,,,
