"Kunta","Vuosi","Kuntien tunnusluvut"
"Karinainen",1992,2396
"Karinainen",1993,2423
"Karinainen",1994,2415
"Karinainen",1995,2434
"Karinainen",2004,2514
"Karinainen",2005,0
"Karinainen",2006,0
"Karinainen",2007,0
"Karinainen",2008,0
"Karinainen",2009,0
"Karinainen",2010,0
"Karinainen",2011,0
"Karinainen",2012,0
"Karinainen",2013,0
"Karjaa",1986,8433
"Karjaa",1987,8467
"Karjaa",1988,8475
"Karjaa",1989,8551
"Karjaa",1990,8607
"Karjaa",1991,8788
"Karjaa",1992,8935
"Karjaa",1993,8904
"Karjaa",1994,8885
"Karjaa",1995,8859
"Karjaa",2004,8977
"Karjaa",2005,8956
"Karjaa",2006,8953
"Karjaa",2007,9044
"Karjaa",2008,9151
"Karjaa",2009,0
"Karjaa",2010,0
"Karjaa",2011,0
"Karjaa",2012,0
"Karjaa",2013,0
"Karjalohja",1986,1281
"Karjalohja",1987,1294
"Karjalohja",1988,1278
"Karjalohja",1989,1312
"Karjalohja",1990,1314
"Karjalohja",1991,1347
"Karjalohja",1992,1409
"Karjalohja",1993,1396
"Karjalohja",1994,1361
"Karjalohja",1995,1391
"Karjalohja",2004,1491
"Karjalohja",2005,1474
"Karjalohja",2006,1465
"Karjalohja",2007,1465
"Karjalohja",2008,1481
"Karjalohja",2009,1504
"Karjalohja",2010,1493
"Karjalohja",2011,1492
"Karjalohja",2012,1476
"Karjalohja",2013,0
"Karkkila",1986,8354
"Karkkila",1987,8415
"Karkkila",1988,8486
"Karkkila",1989,8659
"Karkkila",1990,8818
"Karkkila",1991,8928
"Karkkila",1992,9079
"Karkkila",1993,8887
"Karkkila",1994,8699
"Karkkila",1995,8609
"Karkkila",2004,8802
"Karkkila",2005,8807
"Karkkila",2006,8920
"Karkkila",2007,8996
"Karkkila",2008,9076
"Karkkila",2009,9109
"Karkkila",2010,9209
"Karkkila",2011,9190
"Karkkila",2012,9119
"Karkkila",2013,9074
"Kärkölä",1986,5163
"Kärkölä",1987,5202
"Kärkölä",1988,5177
"Kärkölä",1989,5188
"Kärkölä",1990,5292
"Kärkölä",1991,5347
"Kärkölä",1992,5405
"Kärkölä",1993,5390
"Kärkölä",1994,5339
"Kärkölä",1995,5279
"Kärkölä",2004,5019
"Kärkölä",2005,4974
"Kärkölä",2006,4953
"Kärkölä",2007,4926
"Kärkölä",2008,4927
"Kärkölä",2009,4875
"Kärkölä",2010,4882
"Kärkölä",2011,4798
"Kärkölä",2012,4772
"Kärkölä",2013,4755
"Kärsämäki",1986,3633
"Kärsämäki",1987,3619
"Kärsämäki",1988,3626
"Kärsämäki",1989,3659
"Kärsämäki",1990,3608
"Kärsämäki",1991,3581
"Kärsämäki",1992,3602
"Kärsämäki",1993,3594
"Kärsämäki",1994,3587
"Kärsämäki",1995,3539
"Kärsämäki",2004,3091
"Kärsämäki",2005,3025
"Kärsämäki",2006,3000
"Kärsämäki",2007,2986
"Kärsämäki",2008,2970
"Kärsämäki",2009,2918
"Kärsämäki",2010,2872
"Kärsämäki",2011,2819
"Kärsämäki",2012,2760
"Kärsämäki",2013,2721
"Karstula",1986,5668
"Karstula",1987,5645
"Karstula",1988,5582
"Karstula",1989,5576
"Karstula",1990,5560
"Karstula",1991,5607
"Karstula",1992,5596
"Karstula",1993,5554
"Karstula",1994,5517
"Karstula",1995,5467
"Karstula",2004,4858
"Karstula",2005,4801
"Karstula",2006,4739
"Karstula",2007,4691
"Karstula",2008,4618
"Karstula",2009,4564
"Karstula",2010,4507
"Karstula",2011,4462
"Karstula",2012,4376
"Karstula",2013,4343
"Karttula",1986,3238
"Karttula",1987,3250
"Karttula",1988,3282
"Karttula",1989,3314
"Karttula",1990,3361
"Karttula",1991,3426
"Karttula",1992,3475
"Karttula",1993,3525
"Karttula",1994,3519
"Karttula",1995,3493
"Karttula",2004,3505
"Karttula",2005,3523
"Karttula",2006,3549
"Karttula",2007,3518
"Karttula",2008,3525
"Karttula",2009,3509
"Karttula",2010,3498
"Karttula",2011,0
"Karttula",2012,0
"Karttula",2013,0
"Karvia",1986,3563
"Karvia",1987,3539
"Karvia",1988,3491
"Karvia",1989,3448
"Karvia",1990,3409
"Karvia",1991,3339
"Karvia",1992,3326
"Karvia",1993,3315
"Karvia",1994,3297
"Karvia",1995,3272
"Karvia",2004,2875
"Karvia",2005,2825
"Karvia",2006,2779
"Karvia",2007,2776
"Karvia",2008,2728
"Karvia",2009,2672
"Karvia",2010,2643
"Karvia",2011,2599
"Karvia",2012,2545
"Karvia",2013,2523
"Kaskinen",1986,1865
"Kaskinen",1987,1855
"Kaskinen",1988,1814
"Kaskinen",1989,1782
"Kaskinen",1990,1780
"Kaskinen",1991,1779
"Kaskinen",1992,1745
"Kaskinen",1993,1706
"Kaskinen",1994,1651
"Kaskinen",1995,1596
"Kaskinen",2004,1519
"Kaskinen",2005,1482
"Kaskinen",2006,1505
"Kaskinen",2007,1485
"Kaskinen",2008,1478
"Kaskinen",2009,1442
"Kaskinen",2010,1429
"Kaskinen",2011,1404
"Kaskinen",2012,1382
"Kaskinen",2013,1350
"Kauhajoki",1986,15588
"Kauhajoki",1987,15546
"Kauhajoki",1988,15526
"Kauhajoki",1989,15556
"Kauhajoki",1990,15569
"Kauhajoki",1991,15650
"Kauhajoki",1992,15704
"Kauhajoki",1993,15602
"Kauhajoki",1994,15542
"Kauhajoki",1995,15420
"Kauhajoki",2004,14544
"Kauhajoki",2005,14465
"Kauhajoki",2006,14457
"Kauhajoki",2007,14428
"Kauhajoki",2008,14379
"Kauhajoki",2009,14384
"Kauhajoki",2010,14269
"Kauhajoki",2011,14191
"Kauhajoki",2012,14167
"Kauhajoki",2013,14081
"Kauhava",1986,8557
"Kauhava",1987,8576
"Kauhava",1988,8561
"Kauhava",1989,8578
"Kauhava",1990,8580
"Kauhava",1991,8653
"Kauhava",1992,8633
"Kauhava",1993,8568
"Kauhava",1994,8573
"Kauhava",1995,8527
"Kauhava",2004,8110
"Kauhava",2005,8025
"Kauhava",2006,7965
"Kauhava",2007,7986
"Kauhava",2008,7927
"Kauhava",2009,17545
"Kauhava",2010,17308
"Kauhava",2011,17265
"Kauhava",2012,17202
"Kauhava",2013,17065
"Kauniainen",1986,7747
"Kauniainen",1987,7765
"Kauniainen",1988,7779
"Kauniainen",1989,7870
"Kauniainen",1990,7901
"Kauniainen",1991,7886
"Kauniainen",1992,7950
"Kauniainen",1993,8268
"Kauniainen",1994,8305
"Kauniainen",1995,8298
"Kauniainen",2004,8465
"Kauniainen",2005,8457
"Kauniainen",2006,8469
"Kauniainen",2007,8511
"Kauniainen",2008,8545
"Kauniainen",2009,8617
"Kauniainen",2010,8689
"Kauniainen",2011,8807
"Kauniainen",2012,8910
"Kauniainen",2013,9101
"Kaustinen",1986,4322
"Kaustinen",1987,4358
"Kaustinen",1988,4391
"Kaustinen",1989,4419
"Kaustinen",1990,4430
"Kaustinen",1991,4501
"Kaustinen",1992,4518
"Kaustinen",1993,4574
"Kaustinen",1994,4566
"Kaustinen",1995,4578
"Kaustinen",2004,4393
"Kaustinen",2005,4348
"Kaustinen",2006,4332
"Kaustinen",2007,4298
"Kaustinen",2008,4313
"Kaustinen",2009,4298
"Kaustinen",2010,4302
"Kaustinen",2011,4280
"Kaustinen",2012,4287
"Kaustinen",2013,4288
"Keitele",1986,3362
"Keitele",1987,3349
"Keitele",1988,3331
"Keitele",1989,3289
"Keitele",1990,3333
"Keitele",1991,3309
"Keitele",1992,3307
"Keitele",1993,3284
"Keitele",1994,3250
"Keitele",1995,3201
"Keitele",2004,2803
"Keitele",2005,2760
"Keitele",2006,2692
"Keitele",2007,2642
"Keitele",2008,2618
"Keitele",2009,2563
"Keitele",2010,2542
"Keitele",2011,2524
"Keitele",2012,2476
"Keitele",2013,2427
"Kemi",1986,26426
"Kemi",1987,26209
"Kemi",1988,26002
"Kemi",1989,25736
"Kemi",1990,25566
"Kemi",1991,25371
"Kemi",1992,25239
"Kemi",1993,25095
"Kemi",1994,24936
"Kemi",1995,24696
"Kemi",2004,22907
"Kemi",2005,22831
"Kemi",2006,22771
"Kemi",2007,22669
"Kemi",2008,22594
"Kemi",2009,22580
"Kemi",2010,22537
"Kemi",2011,22399
"Kemi",2012,22257
"Kemi",2013,22120
"Kemijärvi",1986,12754
"Kemijärvi",1987,12759
"Kemijärvi",1988,12554
"Kemijärvi",1989,12475
"Kemijärvi",1990,12384
"Kemijärvi",1991,12328
"Kemijärvi",1992,12255
"Kemijärvi",1993,12053
"Kemijärvi",1994,11987
"Kemijärvi",1995,11775
"Kemijärvi",2004,9529
"Kemijärvi",2005,9293
"Kemijärvi",2006,9065
"Kemijärvi",2007,8882
"Kemijärvi",2008,8658
"Kemijärvi",2009,8519
"Kemijärvi",2010,8418
"Kemijärvi",2011,8295
"Kemijärvi",2012,8093
"Kemijärvi",2013,7983
"Keminmaa",1986,8794
"Keminmaa",1987,8864
"Keminmaa",1988,8932
"Keminmaa",1989,9003
"Keminmaa",1990,9079
"Keminmaa",1991,9151
"Keminmaa",1992,9261
"Keminmaa",1993,9460
"Keminmaa",1994,9402
"Keminmaa",1995,9411
"Keminmaa",2004,8863
"Keminmaa",2005,8926
"Keminmaa",2006,8829
"Keminmaa",2007,8712
"Keminmaa",2008,8636
"Keminmaa",2009,8606
"Keminmaa",2010,8573
"Keminmaa",2011,8572
"Keminmaa",2012,8585
"Keminmaa",2013,8565
"Kemiö",1986,3518
"Kemiö",1987,3442
"Kemiö",1988,3423
"Kemiö",1989,3434
"Kemiö",1990,3408
"Kemiö",1991,3448
"Kemiö",1992,3470
"Kemiö",1993,3461
"Kemiö",1994,3437
"Kemiö",1995,3403
"Kemiö",2004,3301
"Kemiö",2005,3293
"Kemiö",2006,3275
"Kemiö",2007,3252
"Kemiö",2008,3234
"Kemiö",2009,0
"Kemiö",2010,0
"Kemiö",2011,0
"Kemiö",2012,0
"Kemiö",2013,0
"Kemiönsaari",1986,0
"Kemiönsaari",1987,0
"Kemiönsaari",1988,0
"Kemiönsaari",1989,0
"Kemiönsaari",1990,0
"Kemiönsaari",1991,0
"Kemiönsaari",1992,0
"Kemiönsaari",1993,0
"Kemiönsaari",1994,0
"Kemiönsaari",1995,0
"Kemiönsaari",2004,0
"Kemiönsaari",2005,0
"Kemiönsaari",2006,0
"Kemiönsaari",2007,0
"Kemiönsaari",2008,0
"Kemiönsaari",2009,7298
"Kemiönsaari",2010,7191
"Kemiönsaari",2011,7173
"Kemiönsaari",2012,7075
"Kemiönsaari",2013,7012
"Kempele",1986,8757
"Kempele",1987,8971
"Kempele",1988,9215
"Kempele",1989,9473
"Kempele",1990,9645
"Kempele",1991,9800
"Kempele",1992,10078
"Kempele",1993,10527
"Kempele",1994,10635
"Kempele",1995,10791
"Kempele",2004,13982
"Kempele",2005,14475
"Kempele",2006,14917
"Kempele",2007,15218
"Kempele",2008,15320
"Kempele",2009,15652
"Kempele",2010,15864
"Kempele",2011,16182
"Kempele",2012,16383
"Kempele",2013,16605
"Kerava",1986,26198
"Kerava",1987,26514
"Kerava",1988,26820
"Kerava",1989,27068
"Kerava",1990,27153
"Kerava",1991,27602
"Kerava",1992,28009
"Kerava",1993,28933
"Kerava",1994,29298
"Kerava",1995,29385
"Kerava",2004,31361
"Kerava",2005,31544
"Kerava",2006,32305
"Kerava",2007,33181
"Kerava",2008,33546
"Kerava",2009,33833
"Kerava",2010,34282
"Kerava",2011,34549
"Kerava",2012,34491
"Kerava",2013,34913
"Kerimäki",1986,6285
"Kerimäki",1987,6329
"Kerimäki",1988,6366
"Kerimäki",1989,6420
"Kerimäki",1990,6481
"Kerimäki",1991,6524
"Kerimäki",1992,6510
"Kerimäki",1993,6597
"Kerimäki",1994,6552
"Kerimäki",1995,6504
"Kerimäki",2004,5905
"Kerimäki",2005,5922
"Kerimäki",2006,5862
"Kerimäki",2007,5789
"Kerimäki",2008,5700
"Kerimäki",2009,5658
"Kerimäki",2010,5641
"Kerimäki",2011,5554
"Kerimäki",2012,5519
"Kerimäki",2013,0
"Kesälahti",1986,3194
"Kesälahti",1987,3201
"Kesälahti",1988,3166
"Kesälahti",1989,3134
"Kesälahti",1990,3155
"Kesälahti",1991,3159
"Kesälahti",1992,3174
"Kesälahti",1993,3135
"Kesälahti",1994,3131
"Kesälahti",1995,3071
"Kesälahti",2004,2712
"Kesälahti",2005,2663
"Kesälahti",2006,2649
"Kesälahti",2007,2596
"Kesälahti",2008,2533
"Kesälahti",2009,2460
"Kesälahti",2010,2403
"Kesälahti",2011,2362
"Kesälahti",2012,2321
"Kesälahti",2013,0
"Kestilä",1986,2184
"Kestilä",1987,2165
"Kestilä",1988,2140
"Kestilä",1989,2070
"Kestilä",1990,2038
"Kestilä",1991,1998
"Kestilä",1992,2003
"Kestilä",1993,1989
"Kestilä",1994,1968
"Kestilä",1995,1949
"Kestilä",2004,1683
"Kestilä",2005,1664
"Kestilä",2006,1621
"Kestilä",2007,1603
"Kestilä",2008,1572
"Kestilä",2009,0
"Kestilä",2010,0
"Kestilä",2011,0
"Kestilä",2012,0
"Kestilä",2013,0
"Keuruu",1986,13006
"Keuruu",1987,12976
"Keuruu",1988,12934
"Keuruu",1989,12782
"Keuruu",1990,12679
"Keuruu",1991,12661
"Keuruu",1992,12690
"Keuruu",1993,12539
"Keuruu",1994,12468
"Keuruu",1995,12405
"Keuruu",2004,11260
"Keuruu",2005,11180
"Keuruu",2006,11005
"Keuruu",2007,10919
"Keuruu",2008,10896
"Keuruu",2009,10757
"Keuruu",2010,10666
"Keuruu",2011,10574
"Keuruu",2012,10488
"Keuruu",2013,10310
"Kihniö",1986,2873
"Kihniö",1987,2818
"Kihniö",1988,2801
"Kihniö",1989,2765
"Kihniö",1990,2766
"Kihniö",1991,2758
"Kihniö",1992,2754
"Kihniö",1993,2688
"Kihniö",1994,2666
"Kihniö",1995,2626
"Kihniö",2004,2366
"Kihniö",2005,2353
"Kihniö",2006,2305
"Kihniö",2007,2280
"Kihniö",2008,2223
"Kihniö",2009,2257
"Kihniö",2010,2226
"Kihniö",2011,2179
"Kihniö",2012,2147
"Kihniö",2013,2111
"Kiihtelysvaara",1986,2400
"Kiihtelysvaara",1987,2451
"Kiihtelysvaara",1988,2486
"Kiihtelysvaara",1989,2526
"Kiihtelysvaara",1990,2605
"Kiihtelysvaara",1991,2688
"Kiihtelysvaara",1992,2750
"Kiihtelysvaara",1993,2762
"Kiihtelysvaara",1994,2788
"Kiihtelysvaara",1995,2773
"Kiihtelysvaara",2004,2687
"Kiihtelysvaara",2005,0
"Kiihtelysvaara",2006,0
"Kiihtelysvaara",2007,0
"Kiihtelysvaara",2008,0
"Kiihtelysvaara",2009,0
"Kiihtelysvaara",2010,0
"Kiihtelysvaara",2011,0
"Kiihtelysvaara",2012,0
"Kiihtelysvaara",2013,0
"Kiikala",1986,2109
"Kiikala",1987,2085
"Kiikala",1988,2027
"Kiikala",1989,2030
"Kiikala",1990,2056
"Kiikala",1991,2051
"Kiikala",1992,2022
"Kiikala",1993,1991
"Kiikala",1994,1968
"Kiikala",1995,1962
"Kiikala",2004,1872
"Kiikala",2005,1834
"Kiikala",2006,1854
"Kiikala",2007,1810
"Kiikala",2008,1813
"Kiikala",2009,0
"Kiikala",2010,0
"Kiikala",2011,0
"Kiikala",2012,0
"Kiikala",2013,0
"Kiikoinen",1986,1426
"Kiikoinen",1987,1423
"Kiikoinen",1988,1413
"Kiikoinen",1989,1413
"Kiikoinen",1990,1404
"Kiikoinen",1991,1419
"Kiikoinen",1992,1420
"Kiikoinen",1993,1409
"Kiikoinen",1994,1375
"Kiikoinen",1995,1363
"Kiikoinen",2004,1313
"Kiikoinen",2005,1291
"Kiikoinen",2006,1309
"Kiikoinen",2007,1300
"Kiikoinen",2008,1294
"Kiikoinen",2009,1270
"Kiikoinen",2010,1269
"Kiikoinen",2011,1265
"Kiikoinen",2012,1246
"Kiikoinen",2013,0
"Kiiminki",1986,7355
"Kiiminki",1987,7507
"Kiiminki",1988,7721
"Kiiminki",1989,8055
"Kiiminki",1990,8369
"Kiiminki",1991,8580
"Kiiminki",1992,8780
"Kiiminki",1993,9136
"Kiiminki",1994,9187
"Kiiminki",1995,9215
"Kiiminki",2004,11778
"Kiiminki",2005,12108
"Kiiminki",2006,12351
"Kiiminki",2007,12448
"Kiiminki",2008,12766
"Kiiminki",2009,12966
"Kiiminki",2010,13088
"Kiiminki",2011,13252
"Kiiminki",2012,13317
"Kiiminki",2013,0
"Kinnula",1986,2309
"Kinnula",1987,2318
"Kinnula",1988,2323
"Kinnula",1989,2315
"Kinnula",1990,2287
"Kinnula",1991,2303
"Kinnula",1992,2321
"Kinnula",1993,2321
"Kinnula",1994,2302
"Kinnula",1995,2272
"Kinnula",2004,1940
"Kinnula",2005,1933
"Kinnula",2006,1901
"Kinnula",2007,1864
"Kinnula",2008,1852
"Kinnula",2009,1820
"Kinnula",2010,1821
"Kinnula",2011,1816
"Kinnula",2012,1764
"Kinnula",2013,1769
"Kirkkonummi",1986,23253
"Kirkkonummi",1987,23671
"Kirkkonummi",1988,24100
"Kirkkonummi",1989,24532
"Kirkkonummi",1990,24869
"Kirkkonummi",1991,25384
"Kirkkonummi",1992,26065
"Kirkkonummi",1993,26906
"Kirkkonummi",1994,27046
"Kirkkonummi",1995,27316
"Kirkkonummi",2004,32772
"Kirkkonummi",2005,33581
"Kirkkonummi",2006,34389
"Kirkkonummi",2007,35141
"Kirkkonummi",2008,35981
"Kirkkonummi",2009,36509
"Kirkkonummi",2010,36942
"Kirkkonummi",2011,37192
"Kirkkonummi",2012,37567
"Kirkkonummi",2013,37899
"Kisko",1986,2123
"Kisko",1987,2100
"Kisko",1988,2104
"Kisko",1989,2091
"Kisko",1990,2059
"Kisko",1991,2055
"Kisko",1992,2072
"Kisko",1993,2029
"Kisko",1994,1998
"Kisko",1995,1994
"Kisko",2004,1869
"Kisko",2005,1876
"Kisko",2006,1840
"Kisko",2007,1854
"Kisko",2008,1828
"Kisko",2009,0
"Kisko",2010,0
"Kisko",2011,0
"Kisko",2012,0
"Kisko",2013,0
"Kitee",1986,11464
"Kitee",1987,11416
"Kitee",1988,11442
"Kitee",1989,11405
"Kitee",1990,11406
"Kitee",1991,11343
"Kitee",1992,11302
"Kitee",1993,11269
"Kitee",1994,11168
"Kitee",1995,11058
"Kitee",2004,9877
"Kitee",2005,9795
"Kitee",2006,9667
"Kitee",2007,9611
"Kitee",2008,9477
"Kitee",2009,9401
"Kitee",2010,9263
"Kitee",2011,9153
"Kitee",2012,9020
"Kitee",2013,11197
"Kittilä",1986,6209
"Kittilä",1987,6122
"Kittilä",1988,6082
"Kittilä",1989,6093
"Kittilä",1990,6135
"Kittilä",1991,6168
"Kittilä",1992,6207
"Kittilä",1993,6256
"Kittilä",1994,6228
"Kittilä",1995,6205
"Kittilä",2004,5833
"Kittilä",2005,5840
"Kittilä",2006,5887
"Kittilä",2007,5967
"Kittilä",2008,6039
"Kittilä",2009,6115
"Kittilä",2010,6183
"Kittilä",2011,6279
"Kittilä",2012,6388
"Kittilä",2013,6478
"Kiukainen",1986,4056
"Kiukainen",1987,4008
"Kiukainen",1988,3936
"Kiukainen",1989,3893
"Kiukainen",1990,3888
"Kiukainen",1991,3871
"Kiukainen",1992,3859
"Kiukainen",1993,3877
"Kiukainen",1994,3801
"Kiukainen",1995,3772
"Kiukainen",2004,3365
"Kiukainen",2005,3358
"Kiukainen",2006,3356
"Kiukainen",2007,3338
"Kiukainen",2008,3290
"Kiukainen",2009,0
"Kiukainen",2010,0
"Kiukainen",2011,0
"Kiukainen",2012,0
"Kiukainen",2013,0
"Kiuruvesi",1986,11988
"Kiuruvesi",1987,11926
"Kiuruvesi",1988,11731
"Kiuruvesi",1989,11575
"Kiuruvesi",1990,11497
"Kiuruvesi",1991,11417
"Kiuruvesi",1992,11411
"Kiuruvesi",1993,11345
"Kiuruvesi",1994,11288
"Kiuruvesi",1995,11179
"Kiuruvesi",2004,9864
"Kiuruvesi",2005,9745
"Kiuruvesi",2006,9639
"Kiuruvesi",2007,9515
"Kiuruvesi",2008,9400
"Kiuruvesi",2009,9318
"Kiuruvesi",2010,9157
"Kiuruvesi",2011,9063
"Kiuruvesi",2012,8989
"Kiuruvesi",2013,8866
"Kivijärvi",1986,2019
"Kivijärvi",1987,2041
"Kivijärvi",1988,2053
"Kivijärvi",1989,2050
"Kivijärvi",1990,2049
"Kivijärvi",1991,2001
"Kivijärvi",1992,1985
"Kivijärvi",1993,1874
"Kivijärvi",1994,1840
"Kivijärvi",1995,1810
"Kivijärvi",2004,1452
"Kivijärvi",2005,1424
"Kivijärvi",2006,1441
"Kivijärvi",2007,1402
"Kivijärvi",2008,1363
"Kivijärvi",2009,1365
"Kivijärvi",2010,1364
"Kivijärvi",2011,1334
"Kivijärvi",2012,1303
"Kivijärvi",2013,1259
"Kodisjoki",1986,558
"Kodisjoki",1987,569
"Kodisjoki",1988,565
"Kodisjoki",1989,580
"Kodisjoki",1990,563
"Kodisjoki",1991,571
"Kodisjoki",1992,576
"Kodisjoki",1993,591
"Kodisjoki",1994,563
"Kodisjoki",1995,553
"Kodisjoki",2004,521
"Kodisjoki",2005,525
"Kodisjoki",2006,522
"Kodisjoki",2007,0
"Kodisjoki",2008,0
"Kodisjoki",2009,0
"Kodisjoki",2010,0
"Kodisjoki",2011,0
"Kodisjoki",2012,0
"Kodisjoki",2013,0
"Kökar",1986,288
"Kökar",1987,277
"Kökar",1988,281
"Kökar",1989,286
"Kökar",1990,292
"Kökar",1991,293
"Kökar",1992,303
"Kökar",1993,300
"Kökar",1994,318
"Kökar",1995,314
"Kökar",2004,296
"Kökar",2005,303
"Kökar",2006,298
"Kökar",2007,284
"Kökar",2008,262
"Kökar",2009,261
"Kökar",2010,259
"Kökar",2011,249
"Kökar",2012,245
"Kökar",2013,251
"Kokemäki",1986,9736
"Kokemäki",1987,9679
"Kokemäki",1988,9623
"Kokemäki",1989,9517
"Kokemäki",1990,9523
"Kokemäki",1991,9479
"Kokemäki",1992,9418
"Kokemäki",1993,9319
"Kokemäki",1994,9266
"Kokemäki",1995,9145
"Kokemäki",2004,8420
"Kokemäki",2005,8365
"Kokemäki",2006,8277
"Kokemäki",2007,8217
"Kokemäki",2008,8148
"Kokemäki",2009,8080
"Kokemäki",2010,7987
"Kokemäki",2011,7922
"Kokemäki",2012,7893
"Kokemäki",2013,7769
"Kokkola",1986,34490
"Kokkola",1987,34618
"Kokkola",1988,34615
"Kokkola",1989,34500
"Kokkola",1990,34559
"Kokkola",1991,34641
"Kokkola",1992,34746
"Kokkola",1993,35269
"Kokkola",1994,35592
"Kokkola",1995,35552
"Kokkola",2004,35888
"Kokkola",2005,36267
"Kokkola",2006,36516
"Kokkola",2007,36966
"Kokkola",2008,37258
"Kokkola",2009,45896
"Kokkola",2010,46260
"Kokkola",2011,46585
"Kokkola",2012,46773
"Kokkola",2013,47031
"Kolari",1986,5039
"Kolari",1987,5034
"Kolari",1988,4941
"Kolari",1989,4741
"Kolari",1990,4698
"Kolari",1991,4726
"Kolari",1992,4720
"Kolari",1993,4675
"Kolari",1994,4579
"Kolari",1995,4486
"Kolari",2004,3862
"Kolari",2005,3828
"Kolari",2006,3792
"Kolari",2007,3796
"Kolari",2008,3860
"Kolari",2009,3854
"Kolari",2010,3839
"Kolari",2011,3836
"Kolari",2012,3853
"Kolari",2013,3885
"Konnevesi",1986,3486
"Konnevesi",1987,3493
"Konnevesi",1988,3473
"Konnevesi",1989,3466
"Konnevesi",1990,3473
"Konnevesi",1991,3437
"Konnevesi",1992,3451
"Konnevesi",1993,3402
"Konnevesi",1994,3418
"Konnevesi",1995,3388
"Konnevesi",2004,3154
"Konnevesi",2005,3099
"Konnevesi",2006,3057
"Konnevesi",2007,3027
"Konnevesi",2008,2978
"Konnevesi",2009,2971
"Konnevesi",2010,2963
"Konnevesi",2011,2924
"Konnevesi",2012,2904
"Konnevesi",2013,2846
"Kontiolahti",1986,9226
"Kontiolahti",1987,9372
"Kontiolahti",1988,9581
"Kontiolahti",1989,9990
"Kontiolahti",1990,10276
"Kontiolahti",1991,10447
"Kontiolahti",1992,10644
"Kontiolahti",1993,10820
"Kontiolahti",1994,10768
"Kontiolahti",1995,10831
"Kontiolahti",2004,12339
"Kontiolahti",2005,12768
"Kontiolahti",2006,12996
"Kontiolahti",2007,13326
"Kontiolahti",2008,13490
"Kontiolahti",2009,13677
"Kontiolahti",2010,13722
"Kontiolahti",2011,14000
"Kontiolahti",2012,14245
"Kontiolahti",2013,14422
"Korpilahti",1986,4873
"Korpilahti",1987,4952
"Korpilahti",1988,4942
"Korpilahti",1989,4968
"Korpilahti",1990,5031
"Korpilahti",1991,5125
"Korpilahti",1992,5159
"Korpilahti",1993,5195
"Korpilahti",1994,5189
"Korpilahti",1995,5150
"Korpilahti",2004,4985
"Korpilahti",2005,4997
"Korpilahti",2006,5030
"Korpilahti",2007,5044
"Korpilahti",2008,5061
"Korpilahti",2009,0
"Korpilahti",2010,0
"Korpilahti",2011,0
"Korpilahti",2012,0
"Korpilahti",2013,0
"Korppoo",1986,1136
"Korppoo",1987,1131
"Korppoo",1988,1126
"Korppoo",1989,1128
"Korppoo",1990,1137
"Korppoo",1991,1121
"Korppoo",1992,1114
"Korppoo",1993,1102
"Korppoo",1994,1080
"Korppoo",1995,1086
"Korppoo",2004,889
"Korppoo",2005,883
"Korppoo",2006,861
"Korppoo",2007,860
"Korppoo",2008,845
"Korppoo",2009,0
"Korppoo",2010,0
"Korppoo",2011,0
"Korppoo",2012,0
"Korppoo",2013,0
"Korsnäs",1986,2358
"Korsnäs",1987,2338
"Korsnäs",1988,2314
"Korsnäs",1989,2291
"Korsnäs",1990,2306
"Korsnäs",1991,2310
"Korsnäs",1992,2319
"Korsnäs",1993,2283
"Korsnäs",1994,2305
"Korsnäs",1995,2302
"Korsnäs",2004,2199
"Korsnäs",2005,2208
"Korsnäs",2006,2205
"Korsnäs",2007,2240
"Korsnäs",2008,2219
"Korsnäs",2009,2239
"Korsnäs",2010,2260
"Korsnäs",2011,2249
"Korsnäs",2012,2232
"Korsnäs",2013,2218
"Kortesjärvi",1986,2891
"Kortesjärvi",1987,2903
"Kortesjärvi",1988,2898
"Kortesjärvi",1989,2866
"Kortesjärvi",1990,2832
"Kortesjärvi",1991,2828
"Kortesjärvi",1992,2793
"Kortesjärvi",1993,2776
"Kortesjärvi",1994,2782
"Kortesjärvi",1995,2754
"Kortesjärvi",2004,2419
"Kortesjärvi",2005,2385
"Kortesjärvi",2006,2356
"Kortesjärvi",2007,2311
"Kortesjärvi",2008,2275
"Kortesjärvi",2009,0
"Kortesjärvi",2010,0
"Kortesjärvi",2011,0
"Kortesjärvi",2012,0
"Kortesjärvi",2013,0
"Koski tl",1986,2896
"Koski tl",1987,2892
"Koski tl",1988,2890
"Koski tl",1989,2829
"Koski tl",1990,2815
"Koski tl",1991,2803
"Koski tl",1992,2788
"Koski tl",1993,2744
"Koski tl",1994,2712
"Koski tl",1995,2685
"Koski tl",2004,2545
"Koski tl",2005,2528
"Koski tl",2006,2511
"Koski tl",2007,2485
"Koski tl",2008,2470
"Koski tl",2009,2450
"Koski tl",2010,2436
"Koski tl",2011,2441
"Koski tl",2012,2450
"Koski tl",2013,2423
"Kotka",1986,58954
"Kotka",1987,58345
"Kotka",1988,57750
"Kotka",1989,57201
"Kotka",1990,56922
"Kotka",1991,56628
"Kotka",1992,56508
"Kotka",1993,56267
"Kotka",1994,56087
"Kotka",1995,55903
"Kotka",2004,54759
"Kotka",2005,54838
"Kotka",2006,54607
"Kotka",2007,54679
"Kotka",2008,54694
"Kotka",2009,54775
"Kotka",2010,54824
"Kotka",2011,54831
"Kotka",2012,54873
"Kotka",2013,54771
