"Kunta","Vuosi","Kuntien tunnusluvut"
"Anttola",2004,0
"Anttola",2005,0
"Anttola",2006,0
"Anttola",2007,0
"Anttola",2008,0
"Anttola",2009,0
"Anttola",2010,0
"Anttola",2011,0
"Anttola",2012,0
"Anttola",2013,0
"Artjärvi",1986,1794
"Artjärvi",1987,1740
"Artjärvi",1988,1717
"Artjärvi",1989,1713
"Artjärvi",1990,1710
"Artjärvi",1991,1711
"Artjärvi",1992,1725
"Artjärvi",1993,1697
"Artjärvi",1994,1694
"Artjärvi",1995,1698
"Artjärvi",2004,1540
"Artjärvi",2005,1540
"Artjärvi",2006,1531
"Artjärvi",2007,1500
"Artjärvi",2008,1466
"Artjärvi",2009,1455
"Artjärvi",2010,1407
"Artjärvi",2011,0
"Artjärvi",2012,0
"Artjärvi",2013,0
"Asikkala",1986,8556
"Asikkala",1987,8602
"Asikkala",1988,8656
"Asikkala",1989,8728
"Asikkala",1990,8796
"Asikkala",1991,8835
"Asikkala",1992,8792
"Asikkala",1993,8842
"Asikkala",1994,8761
"Asikkala",1995,8782
"Asikkala",2004,8547
"Asikkala",2005,8560
"Asikkala",2006,8597
"Asikkala",2007,8663
"Asikkala",2008,8604
"Asikkala",2009,8551
"Asikkala",2010,8552
"Asikkala",2011,8498
"Asikkala",2012,8461
"Asikkala",2013,8405
"Askainen",1986,835
"Askainen",1987,866
"Askainen",1988,896
"Askainen",1989,911
"Askainen",1990,907
"Askainen",1991,935
"Askainen",1992,927
"Askainen",1993,926
"Askainen",1994,924
"Askainen",1995,927
"Askainen",2004,938
"Askainen",2005,940
"Askainen",2006,941
"Askainen",2007,959
"Askainen",2008,1007
"Askainen",2009,0
"Askainen",2010,0
"Askainen",2011,0
"Askainen",2012,0
"Askainen",2013,0
"Askola",1986,4133
"Askola",1987,4109
"Askola",1988,4112
"Askola",1989,4165
"Askola",1990,4182
"Askola",1991,4250
"Askola",1992,4311
"Askola",1993,4348
"Askola",1994,4319
"Askola",1995,4269
"Askola",2004,4530
"Askola",2005,4555
"Askola",2006,4627
"Askola",2007,4711
"Askola",2008,4761
"Askola",2009,4831
"Askola",2010,4864
"Askola",2011,4911
"Askola",2012,4988
"Askola",2013,4991
"Aura",1986,2689
"Aura",1987,2781
"Aura",1988,2782
"Aura",1989,2878
"Aura",1990,2906
"Aura",1991,2964
"Aura",1992,3134
"Aura",1993,3232
"Aura",1994,3280
"Aura",1995,3288
"Aura",2004,3620
"Aura",2005,3699
"Aura",2006,3750
"Aura",2007,3823
"Aura",2008,3852
"Aura",2009,3840
"Aura",2010,3911
"Aura",2011,3975
"Aura",2012,3971
"Aura",2013,3962
"Brändö",1986,527
"Brändö",1987,530
"Brändö",1988,531
"Brändö",1989,532
"Brändö",1990,521
"Brändö",1991,524
"Brändö",1992,532
"Brändö",1993,538
"Brändö",1994,546
"Brändö",1995,548
"Brändö",2004,516
"Brändö",2005,519
"Brändö",2006,520
"Brändö",2007,510
"Brändö",2008,518
"Brändö",2009,498
"Brändö",2010,488
"Brändö",2011,480
"Brändö",2012,476
"Brändö",2013,475
"Dragsfjärd",1986,4262
"Dragsfjärd",1987,4203
"Dragsfjärd",1988,4113
"Dragsfjärd",1989,4079
"Dragsfjärd",1990,4054
"Dragsfjärd",1991,4014
"Dragsfjärd",1992,3933
"Dragsfjärd",1993,3852
"Dragsfjärd",1994,3812
"Dragsfjärd",1995,3773
"Dragsfjärd",2004,3378
"Dragsfjärd",2005,3365
"Dragsfjärd",2006,3348
"Dragsfjärd",2007,3332
"Dragsfjärd",2008,3277
"Dragsfjärd",2009,0
"Dragsfjärd",2010,0
"Dragsfjärd",2011,0
"Dragsfjärd",2012,0
"Dragsfjärd",2013,0
"Eckerö",1986,770
"Eckerö",1987,758
"Eckerö",1988,767
"Eckerö",1989,779
"Eckerö",1990,786
"Eckerö",1991,805
"Eckerö",1992,822
"Eckerö",1993,829
"Eckerö",1994,820
"Eckerö",1995,823
"Eckerö",2004,897
"Eckerö",2005,925
"Eckerö",2006,929
"Eckerö",2007,923
"Eckerö",2008,921
"Eckerö",2009,924
"Eckerö",2010,943
"Eckerö",2011,978
"Eckerö",2012,960
"Eckerö",2013,947
"Elimäki",1986,8470
"Elimäki",1987,8469
"Elimäki",1988,8453
"Elimäki",1989,8534
"Elimäki",1990,8605
"Elimäki",1991,8594
"Elimäki",1992,8657
"Elimäki",1993,8703
"Elimäki",1994,8595
"Elimäki",1995,8621
"Elimäki",2004,8365
"Elimäki",2005,8346
"Elimäki",2006,8327
"Elimäki",2007,8264
"Elimäki",2008,8198
"Elimäki",2009,0
"Elimäki",2010,0
"Elimäki",2011,0
"Elimäki",2012,0
"Elimäki",2013,0
"Eno",1986,8190
"Eno",1987,8024
"Eno",1988,7888
"Eno",1989,7749
"Eno",1990,7689
"Eno",1991,7700
"Eno",1992,7696
"Eno",1993,7666
"Eno",1994,7639
"Eno",1995,7545
"Eno",2004,6879
"Eno",2005,6764
"Eno",2006,6721
"Eno",2007,6653
"Eno",2008,6507
"Eno",2009,0
"Eno",2010,0
"Eno",2011,0
"Eno",2012,0
"Eno",2013,0
"Enonkoski",1986,2233
"Enonkoski",1987,2243
"Enonkoski",1988,2210
"Enonkoski",1989,2229
"Enonkoski",1990,2252
"Enonkoski",1991,2222
"Enonkoski",1992,2185
"Enonkoski",1993,2186
"Enonkoski",1994,2142
"Enonkoski",1995,2093
"Enonkoski",2004,1738
"Enonkoski",2005,1713
"Enonkoski",2006,1696
"Enonkoski",2007,1677
"Enonkoski",2008,1652
"Enonkoski",2009,1617
"Enonkoski",2010,1615
"Enonkoski",2011,1566
"Enonkoski",2012,1532
"Enonkoski",2013,1522
"Enontekiö",1986,2423
"Enontekiö",1987,2432
"Enontekiö",1988,2420
"Enontekiö",1989,2447
"Enontekiö",1990,2467
"Enontekiö",1991,2472
"Enontekiö",1992,2501
"Enontekiö",1993,2483
"Enontekiö",1994,2450
"Enontekiö",1995,2413
"Enontekiö",2004,1998
"Enontekiö",2005,2000
"Enontekiö",2006,1997
"Enontekiö",2007,1965
"Enontekiö",2008,1915
"Enontekiö",2009,1882
"Enontekiö",2010,1876
"Enontekiö",2011,1893
"Enontekiö",2012,1880
"Enontekiö",2013,1891
"Espoo",1986,156851
"Espoo",1987,160480
"Espoo",1988,164639
"Espoo",1989,167737
"Espoo",1990,169833
"Espoo",1991,172645
"Espoo",1992,175692
"Espoo",1993,182647
"Espoo",1994,186507
"Espoo",1995,191247
"Espoo",2004,227472
"Espoo",2005,231704
"Espoo",2006,235019
"Espoo",2007,238047
"Espoo",2008,241565
"Espoo",2009,244330
"Espoo",2010,247970
"Espoo",2011,252439
"Espoo",2012,256824
"Espoo",2013,260753
"Eura",1986,9561
"Eura",1987,9545
"Eura",1988,9488
"Eura",1989,9476
"Eura",1990,9463
"Eura",1991,9531
"Eura",1992,9574
"Eura",1993,9656
"Eura",1994,9692
"Eura",1995,9666
"Eura",2004,9428
"Eura",2005,9449
"Eura",2006,9413
"Eura",2007,9338
"Eura",2008,9286
"Eura",2009,12554
"Eura",2010,12507
"Eura",2011,12424
"Eura",2012,12406
"Eura",2013,12368
"Eurajoki",1986,5839
"Eurajoki",1987,5835
"Eurajoki",1988,5906
"Eurajoki",1989,5965
"Eurajoki",1990,6042
"Eurajoki",1991,6144
"Eurajoki",1992,6127
"Eurajoki",1993,6213
"Eurajoki",1994,6195
"Eurajoki",1995,6217
"Eurajoki",2004,5796
"Eurajoki",2005,5834
"Eurajoki",2006,5843
"Eurajoki",2007,5854
"Eurajoki",2008,5871
"Eurajoki",2009,5874
"Eurajoki",2010,5923
"Eurajoki",2011,5844
"Eurajoki",2012,5922
"Eurajoki",2013,5931
"Evijärvi",1986,3444
"Evijärvi",1987,3401
"Evijärvi",1988,3397
"Evijärvi",1989,3395
"Evijärvi",1990,3376
"Evijärvi",1991,3357
"Evijärvi",1992,3324
"Evijärvi",1993,3323
"Evijärvi",1994,3331
"Evijärvi",1995,3287
"Evijärvi",2004,2935
"Evijärvi",2005,2916
"Evijärvi",2006,2854
"Evijärvi",2007,2827
"Evijärvi",2008,2780
"Evijärvi",2009,2772
"Evijärvi",2010,2755
"Evijärvi",2011,2747
"Evijärvi",2012,2686
"Evijärvi",2013,2685
"Finström",1986,2160
"Finström",1987,2165
"Finström",1988,2180
"Finström",1989,2179
"Finström",1990,2201
"Finström",1991,2207
"Finström",1992,2220
"Finström",1993,2243
"Finström",1994,2250
"Finström",1995,2246
"Finström",2004,2399
"Finström",2005,2441
"Finström",2006,2464
"Finström",2007,2457
"Finström",2008,2483
"Finström",2009,2486
"Finström",2010,2502
"Finström",2011,2527
"Finström",2012,2531
"Finström",2013,2520
"Föglö",1986,604
"Föglö",1987,591
"Föglö",1988,586
"Föglö",1989,598
"Föglö",1990,603
"Föglö",1991,605
"Föglö",1992,607
"Föglö",1993,602
"Föglö",1994,603
"Föglö",1995,602
"Föglö",2004,607
"Föglö",2005,596
"Föglö",2006,583
"Föglö",2007,582
"Föglö",2008,576
"Föglö",2009,561
"Föglö",2010,580
"Föglö",2011,577
"Föglö",2012,578
"Föglö",2013,572
"Forssa",1986,20064
"Forssa",1987,19967
"Forssa",1988,19874
"Forssa",1989,19910
"Forssa",1990,19743
"Forssa",1991,19668
"Forssa",1992,19666
"Forssa",1993,19742
"Forssa",1994,19699
"Forssa",1995,19542
"Forssa",2004,18076
"Forssa",2005,17918
"Forssa",2006,17894
"Forssa",2007,17835
"Forssa",2008,17870
"Forssa",2009,17807
"Forssa",2010,17904
"Forssa",2011,17833
"Forssa",2012,17727
"Forssa",2013,17667
"Geta",1986,444
"Geta",1987,440
"Geta",1988,442
"Geta",1989,462
"Geta",1990,463
"Geta",1991,478
"Geta",1992,472
"Geta",1993,475
"Geta",1994,467
"Geta",1995,461
"Geta",2004,461
"Geta",2005,444
"Geta",2006,448
"Geta",2007,443
"Geta",2008,456
"Geta",2009,457
"Geta",2010,475
"Geta",2011,492
"Geta",2012,495
"Geta",2013,500
"Haapajärvi",1986,8454
"Haapajärvi",1987,8453
"Haapajärvi",1988,8488
"Haapajärvi",1989,8491
"Haapajärvi",1990,8428
"Haapajärvi",1991,8465
"Haapajärvi",1992,8528
"Haapajärvi",1993,8592
"Haapajärvi",1994,8546
"Haapajärvi",1995,8519
"Haapajärvi",2004,8013
"Haapajärvi",2005,7882
"Haapajärvi",2006,7848
"Haapajärvi",2007,7850
"Haapajärvi",2008,7771
"Haapajärvi",2009,7714
"Haapajärvi",2010,7639
"Haapajärvi",2011,7609
"Haapajärvi",2012,7641
"Haapajärvi",2013,7616
"Haapavesi",1986,7772
